2026-06-56 16:56:42.892 INFO  [http-nio-8081-exec-3] o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-06-56 16:56:42.894 INFO  [http-nio-8081-exec-3] o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-06-56 16:56:42.896 INFO  [http-nio-8081-exec-3] o.s.web.servlet.DispatcherServlet - Completed initialization in 2 ms
2026-06-56 16:56:42.905 INFO  [http-nio-8081-exec-3] com.enotes.aspect.LoggingAspect - Start Calling :: AuthController :: login()
2026-06-56 16:56:42.905 INFO  [http-nio-8081-exec-3] com.enotes.aspect.LoggingAspect - Start Calling :: AuthServiceImpl :: login()
2026-06-56 16:56:43.079 INFO  [http-nio-8081-exec-3] com.enotes.aspect.LoggingAspect - Start Calling :: JwtServiceImpl :: generateToken()
2026-06-56 16:56:43.088 INFO  [http-nio-8081-exec-3] com.enotes.aspect.LoggingAspect - End Calling :: JwtServiceImpl :: generateToken() :: 2 ms
2026-06-56 16:56:43.095 INFO  [http-nio-8081-exec-3] com.enotes.aspect.LoggingAspect - End Calling :: AuthServiceImpl :: login() :: 190 ms
2026-06-56 16:56:43.098 INFO  [http-nio-8081-exec-3] com.enotes.aspect.LoggingAspect - End Calling :: AuthController :: login() :: 193 ms
2026-06-56 16:56:56.749 INFO  [http-nio-8081-exec-1] com.enotes.aspect.LoggingAspect - Start Calling :: JwtServiceImpl :: extractUsername()
2026-06-56 16:56:56.750 INFO  [http-nio-8081-exec-1] com.enotes.aspect.LoggingAspect - End Calling :: JwtServiceImpl :: extractUsername() :: 1 ms
2026-06-56 16:56:56.794 INFO  [http-nio-8081-exec-1] com.enotes.aspect.LoggingAspect - Start Calling :: JwtServiceImpl :: validateToken()
2026-06-56 16:56:56.796 INFO  [http-nio-8081-exec-1] com.enotes.aspect.LoggingAspect - End Calling :: JwtServiceImpl :: validateToken() :: 2 ms
2026-06-56 16:56:56.799 INFO  [http-nio-8081-exec-1] com.enotes.aspect.LoggingAspect - Start Calling :: CategoryController :: getAllCategory()
2026-06-56 16:56:56.801 INFO  [http-nio-8081-exec-1] com.enotes.aspect.LoggingAspect - Start Calling :: CategoryServiceImpl :: getAllCategory()
2026-06-56 16:56:56.814 INFO  [http-nio-8081-exec-1] com.enotes.aspect.LoggingAspect - End Calling :: CategoryServiceImpl :: getAllCategory() :: 13 ms
2026-06-56 16:56:56.814 INFO  [http-nio-8081-exec-1] com.enotes.aspect.LoggingAspect - End Calling :: CategoryController :: getAllCategory() :: 15 ms
